=== SHEET: BOQ ===
Item No	Description	Unit	Quantity	Rate (INR)	Amount (INR)
1	Earthwork in excavation & embankment	cum	425225.025	203	86320680
2	Granular sub-base (GSB)	cum	79399.42	1504	119416727
3	Wet mix macadam (WMM)	cum	43037.244	1534	66019133
4	Dense bituminous macadam (DBM)	MT	18308.476	6673	122172462
5	Bituminous concrete (BC)	MT	16503.504	6491	107124245
6	RCC M30 for structures	cum	24424.27	8197	200205745
TOTAL					701258992
=== SHEET: Measurements ===
RA No	Measured On	Item No	Description	Qty Measured	Amount (INR)
1	2023-12-13 00:00:00	2	Granular sub-base (GSB)	8299.819	12482928
1	2023-12-13 00:00:00	4	Dense bituminous macadam (DBM)	3237.004	21600527
1	2023-12-13 00:00:00	6	RCC M30 for structures	1952.723	16006473
2	2024-01-11 00:00:00	1	Earthwork in excavation & embankment	69779.335	14165205
2	2024-01-11 00:00:00	2	Granular sub-base (GSB)	10801.186	16244984
2	2024-01-11 00:00:00	3	Wet mix macadam (WMM)	7148.683	10966079
2	2024-01-11 00:00:00	5	Bituminous concrete (BC)	1342.422	8713660
3	2024-02-09 00:00:00	1	Earthwork in excavation & embankment	60135.227	12207451
3	2024-02-09 00:00:00	2	Granular sub-base (GSB)	6284.858	9452427
3	2024-02-09 00:00:00	3	Wet mix macadam (WMM)	5914.166	9072331
3	2024-02-09 00:00:00	4	Dense bituminous macadam (DBM)	1458.483	9732455
3	2024-02-09 00:00:00	5	Bituminous concrete (BC)	1482.863	9625264
4	2024-03-09 00:00:00	1	Earthwork in excavation & embankment	43442.68	8818864
4	2024-03-09 00:00:00	2	Granular sub-base (GSB)	6250.09	9400135
4	2024-03-09 00:00:00	3	Wet mix macadam (WMM)	5783.141	8871339
4	2024-03-09 00:00:00	5	Bituminous concrete (BC)	1363.804	8852452
4	2024-03-09 00:00:00	6	RCC M30 for structures	1725.892	14147138
5	2024-04-07 00:00:00	1	Earthwork in excavation & embankment	74405.232	15104262
5	2024-04-07 00:00:00	2	Granular sub-base (GSB)	11257.243	16930893
5	2024-04-07 00:00:00	6	RCC M30 for structures	2202.607	18054773
6	2024-05-06 00:00:00	1	Earthwork in excavation & embankment	72164.483	14649390
6	2024-05-06 00:00:00	5	Bituminous concrete (BC)	2462.544	15984370
6	2024-05-06 00:00:00	6	RCC M30 for structures	2373.572	19456168
7	2024-06-04 00:00:00	1	Earthwork in excavation & embankment	73471.207	14914655
7	2024-06-04 00:00:00	2	Granular sub-base (GSB)	2859.286	4300366
7	2024-06-04 00:00:00	3	Wet mix macadam (WMM)	8721.361	13378568
7	2024-06-04 00:00:00	4	Dense bituminous macadam (DBM)	968.677	6463980
7	2024-06-04 00:00:00	6	RCC M30 for structures	1345.902	11032359
8	2024-07-03 00:00:00	2	Granular sub-base (GSB)	14738.398	22166550
8	2024-07-03 00:00:00	3	Wet mix macadam (WMM)	8067.965	12376258
8	2024-07-03 00:00:00	6	RCC M30 for structures	1896.684	15547120
9	2024-08-01 00:00:00	1	Earthwork in excavation & embankment	75754.369	15378137
9	2024-08-01 00:00:00	2	Granular sub-base (GSB)	7189.02	10812286
9	2024-08-01 00:00:00	5	Bituminous concrete (BC)	2304.004	14955290
9	2024-08-01 00:00:00	6	RCC M30 for structures	1091.157	8944215
10	2024-08-30 00:00:00	1	Earthwork in excavation & embankment	65784.305	13354214
10	2024-08-30 00:00:00	2	Granular sub-base (GSB)	6394.243	9616941
10	2024-08-30 00:00:00	4	Dense bituminous macadam (DBM)	1454.876	9708385
10	2024-08-30 00:00:00	5	Bituminous concrete (BC)	1509.302	9796877
10	2024-08-30 00:00:00	6	RCC M30 for structures	928.817	7613511
11	2024-09-28 00:00:00	1	Earthwork in excavation & embankment	62526.227	12692824
11	2024-09-28 00:00:00	2	Granular sub-base (GSB)	2364.557	3556293
11	2024-09-28 00:00:00	3	Wet mix macadam (WMM)	7553.523	11587104
11	2024-09-28 00:00:00	5	Bituminous concrete (BC)	1835.676	11915372
11	2024-09-28 00:00:00	6	RCC M30 for structures	1261.234	10338335
12	2024-10-27 00:00:00	1	Earthwork in excavation & embankment	61774.744	12540273
12	2024-10-27 00:00:00	2	Granular sub-base (GSB)	4177.891	6283548
12	2024-10-27 00:00:00	3	Wet mix macadam (WMM)	7643.534	11725181
12	2024-10-27 00:00:00	5	Bituminous concrete (BC)	1345.144	8731331
12	2024-10-27 00:00:00	6	RCC M30 for structures	1318.726	10809595
13	2024-11-25 00:00:00	1	Earthwork in excavation & embankment	116280.818	23605006
13	2024-11-25 00:00:00	3	Wet mix macadam (WMM)	9138.735	14018820
13	2024-11-25 00:00:00	6	RCC M30 for structures	1520.813	12466102
14	2024-12-24 00:00:00	1	Earthwork in excavation & embankment	46183.064	9375162
14	2024-12-24 00:00:00	2	Granular sub-base (GSB)	13084.51	19679103
14	2024-12-24 00:00:00	3	Wet mix macadam (WMM)	9786.445	15012407
14	2024-12-24 00:00:00	6	RCC M30 for structures	734.812	6023256
TOTAL					701258992
=== SHEET: Notes ===
Bill of Quantities and measurement register — contract 79.
Agency: National Infrastructure Corp. Ltd..
Quantities are as measured jointly and recorded in the measurement book.
The measurement total reconciles to the running-account bills raised.
